,site,nf,lenght
540,4wes_A_Fe_15489_OK,41.5863,2479
541,1wa6_X_Fe_2374_OK,128.055,14119
542,3or1_D_Fe_14651_OK,14.3161,2589
543,2o1z_A_Fe_4414_OK,87.9601,4106
544,2goy_E_Fe_14500_OK,128.032,33689
545,4rap_B_Fe_37110_OK,128.023,10698
546,4zlw_E_Fe_10050_OK,128.032,10141
547,2q42_A_Fe_3960_OK,128.03,26876
548,3t81_B_Fe_8621_OK,51.299,23584
549,3ze9_A_Fe_12122_OK,62.4071,1961
550,1gn2_G_Fe_12559_OK,128.062,5280
551,4jc0_A_Fe_6817_OK,128.007,17115
552,3exy_A_Fe_637_OK,128.014,44860
553,1oa1_A_Fe_4283_OK,36.1306,1297
554,5g5h_B_Fe_9139_OK,128.043,8005
555,4wn9_C_Fe_15234_OK,41.1499,2468
556,1dqk_D_Fe_4064_OK,78.3108,1124
557,5b4e_A_Fe_2437_OK,128.05,29223
558,1r27_D_Fe_26999_OK,15.0892,560
559,5mkp_A_Fe_2506_OK,128.053,29312
560,2vkr_B_Fe_5427_OK,128.056,49960
561,2ivf_A_Fe_11621_OK,128.018,10837
562,4tkv_C_Fe_16559_OK,79.7267,2990
563,6cin_A_Fe_53107_OK,15.2868,839
564,2ivf_B_Fe_11764_OK,15.0967,1450
565,2fug_P_Fe_73769_OK,30.963,2862
566,1hpi_A_Fe_550_OK,48.1692,713
567,5ao4_D_Fe_12194_OK,93.9075,3021
568,2ivf_B_Fe_11755_OK,15.0967,1450
569,2o01_A_Fe_29577_OK,3.12439,290
570,1oao_C_Fe_21976_OK,4.48518,242
571,5yq7_M_Fe_16460_OK,5.20102,549
572,1jqk_F_Fe_26899_OK,16.1859,932
573,1gnt_A_Fe_4271_OK,36.1306,1297
574,3k1a_B_Fe_15824_OK,72.384,3206
575,6bxo_B_Fe_5200_OK,65.3997,1934
576,5v8k_A_Fe_12438_OK,1.0795,134
577,4qdd_A_Fe_2965_OK,106.253,3552
578,4lyx_A_Fe_1601_OK,128.005,8019
579,5odr_G_Fe_31346_OK,0.039163,1
580,3n5n_Y_Fe_4051_OK,128.005,16157
581,1jnr_D_Fe_12910_OK,32.4975,1937
582,4z3w_H_Fe_26589_OK,128.013,15236
583,2afi_I_Fe_48320_OK,80.7332,3012
584,3npe_A_Fe_4012_OK,96.5886,3046
585,1q16_B_Fe_15872_OK,13.4524,484
586,3pu8_A_Fe_5880_OK,61.2222,5581
587,1l5h_A_Fe_7388_OK,97.5964,3205
588,4wna_A_Fe_16079_OK,80.5026,2990
589,1hlq_B_Fe_1726_OK,55.3463,771
590,5v1s_A_Fe_6676_OK,128.039,11079
591,1dwl_A_Fe_1224_OK,128.033,27185
592,1nx4_B_Fe_6087_OK,128.006,11624
593,5fle_X_Fe_4783_OK,18.2145,876
594,5t5m_G_Fe_14149_OK,128.016,64648
595,5b4e_A_Fe_2435_OK,128.05,29222
596,3bu7_A_Fe_5676_OK,47.5349,2066
597,1gnl_B_Fe_8312_OK,33.7098,1332
598,2cw3_A_Fe_3212_OK,128.066,5150
599,2afh_C_Fe_20431_OK,80.5026,2990
600,1cc1_S_Fe_5872_OK,65.8696,2252
601,2og6_A_Fe_2486_OK,128.018,7840
602,3zgl_B_Fe_4874_OK,128.003,3021
603,2g19_A_Fe_1710_OK,128.063,13062
604,1feh_A_Fe_4480_OK,46.9095,2702
605,3aqj_C_Fe_5207_OK,83.6426,1485
606,2vpw_B_Fe_18772_OK,128.027,11772
607,5n6y_D_Fe_16842_OK,88.252,3178
608,1qh8_A_Fe_15589_OK,81.9566,2954
609,1ao0_D_Fe_14097_OK,120.722,4139
610,6g94_Q_Fe_29641_OK,61.3029,1955
611,3h31_A_Fe_663_OK,53.4991,797
612,1m34_B_Fe_48518_OK,72.384,3206
613,1m1n_G_Fe_32359_OK,80.5026,2990
614,3o3m_D_Fe_24938_OK,121.128,2947
615,4fhc_A_Fe_2813_OK,128.01,28722
616,5lw7_B_Fe_4732_OK,8.06742,364
617,1r27_B_Fe_26866_OK,15.0892,560
618,1gt8_C_Fe_31244_OK,4.48843,210
619,1jqk_F_Fe_26778_OK,16.1859,932
620,1b0v_B_Fe_3387_OK,128.021,17985
621,2a1x_A_Fe_1963_OK,128.058,19309
622,2vdc_K_Fe_89474_OK,128.046,32449
623,3bk7_A_Fe_4741_OK,8.06742,364
624,1fer_A_Fe_862_OK,128.087,19615
625,4wes_D_Fe_15550_OK,95.0972,3226
626,2vdc_G_Fe_89206_OK,128.046,32449
627,3git_C_Fe_19826_OK,9.4555,301
628,1r27_B_Fe_26859_OK,15.0892,560
629,2goy_F_Fe_14508_OK,128.035,33782
630,1gt8_C_Fe_31250_OK,4.48843,210
631,1frf_S_Fe_6141_OK,61.8297,2308
632,1y4z_B_Fe_15790_OK,13.4524,484
633,1aor_B_Fe_9389_OK,66.1903,2030
634,1eo2_B_Fe_3531_OK,63.1173,3733
635,3hip_B_Fe_1794_OK,53.6173,778
636,1ufj_A_Fe_1228_OK,128.056,5955
637,4cei_B_Fe_19645_OK,128.001,12546
638,1b0p_A_Fe_18769_OK,14.1296,769
639,2p1i_F_Fe_16789_OK,119.319,4419
640,5odr_G_Fe_31381_OK,0.039163,1
641,5odq_G_Fe_31396_OK,0.039163,1
642,5ux2_A_Fe_3441_OK,102.012,5683
643,1b1x_A_Fe_5284_OK,16.5199,741
644,3uwm_A_Fe_4778_OK,128.003,3021
645,2pda_B_Fe_18827_OK,14.1296,769
646,5la3_A_Fe_8964_OK,46.8678,2702
647,1n2c_D_Fe_24307_OK,72.384,3206
648,4zlw_E_Fe_10048_OK,128.028,10141
649,1e08_A_Fe_4993_OK,119.356,3549
650,1gnt_A_Fe_4272_OK,36.1306,1297
651,4udx_X_Fe_9512_OK,18.2145,876
652,3zwu_B_Fe_8999_OK,52.263,2216
653,1b0v_C_Fe_3401_OK,128.021,17999
654,2wd4_A_Fe_1973_OK,128.026,9782
655,4ci0_C_Fe_6902_OK,107.872,2506
656,1c4a_A_Fe_4488_OK,46.9095,2702
657,1oao_A_Fe_21808_OK,14.4059,799
658,4amf_A_Fe_18007_OK,51.5385,2200
659,2z8y_O_Fe_43540_OK,4.49135,242
660,1r27_B_Fe_26867_OK,15.0892,560
661,5ono_A_Fe_2166_OK,128.07,52882
662,3k1a_A_Fe_15817_OK,84.3865,3049
663,1r27_B_Fe_26874_OK,15.0892,560
664,1m34_I_Fe_48753_OK,80.489,2990
665,3c8f_A_Fe_1933_OK,128.015,27828
666,4ci0_B_Fe_6893_OK,66.7838,2898
667,1a6l_A_Fe_843_OK,128.008,18006
668,3git_B_Fe_19790_OK,9.4555,301
669,3lgb_B_Fe_3198_OK,32.1995,782
670,1o94_A_Fe_17666_OK,68.5281,2529
671,1uli_C_Fe_14592_OK,116.789,3561
672,1gt8_C_Fe_31249_OK,4.48843,210
673,4xpi_B_Fe_16003_OK,72.8717,3208
674,3ir5_A_Fe_15762_OK,14.5818,3477
675,3a8g_A_Fe_3250_OK,30.4887,636
676,3exy_A_Fe_640_OK,128.014,44859
677,1b0p_A_Fe_18778_OK,14.1296,769
678,1oao_B_Fe_21890_OK,14.4059,799
679,3myr_E_Fe_25730_OK,65.4616,2242
680,3rgw_S_Fe_6931_OK,62.0263,2122
681,1mio_C_Fe_15261_OK,40.8258,2455
682,2afi_A_Fe_48098_OK,80.7332,3012
683,1m2d_B_Fe_1581_OK,128.003,14174
684,4s25_A_Fe_4311_OK,22.949,1510
685,6fos_B_Fe_23664_OK,3.14722,290
686,6elq_A_Fe_14316_OK,16.4048,967
687,1sb3_E_Fe_18849_OK,128.013,8019
688,1m1y_H_Fe_49368_OK,128.029,53161
689,1dj7_A_Fe_1402_OK,40.1445,1018
690,3myr_E_Fe_25728_OK,65.4616,2242
691,1sb3_B_Fe_18722_OK,128.013,8019
692,1kek_B_Fe_18846_OK,14.1296,769
693,3zxs_B_Fe_12123_OK,128.016,6722
694,3zgn_A_Fe_4792_OK,128.003,3021
695,3git_B_Fe_19791_OK,9.4555,301
696,1oa1_A_Fe_4282_OK,36.1306,1297
697,5odr_A_Fe_31097_OK,0.039163,1
698,3k1a_B_Fe_15826_OK,72.384,3206
699,4nd8_A_Fe_15984_OK,79.7267,2990
700,4nub_A_Fe_2882_OK,69.7455,4173
701,5uqd_A_Fe_2715_OK,4.85794,258
702,5zgh_B_Fe_26693_OK,3.07014,288
703,2o69_A_Fe_2283_OK,128.022,55967
704,3cf4_A_Fe_7198_OK,9.36486,677
705,3myr_E_Fe_25731_OK,65.4616,2242
706,1jqk_A_Fe_26773_OK,16.1859,932
707,1upx_A_Fe_8407_OK,33.7246,1332
708,1pih_A_Fe_568_OK,44.2481,707
709,5cxm_D_Fe_2870_OK,128.094,30010
710,3ven_A_Fe_4510_OK,77.504,4619
711,5odq_G_Fe_31363_OK,0.039163,1
712,5fle_X_Fe_4784_OK,18.2145,876
713,4toa_U_Fe_31705_OK,128.013,18049
714,2vsf_A_Fe_4755_OK,128.027,5918
715,3bxd_A_Fe_4085_OK,22.1635,617
716,3wsf_C_Fe_11737_OK,128.034,4141
717,3or2_D_Fe_14596_OK,14.3641,2591
718,2p4z_A_Fe_4377_OK,128.053,3677
719,5odc_G_Fe_31331_OK,0.039133,1
720,2goy_E_Fe_14499_OK,128.032,33689
721,1hfe_L_Fe_7803_OK,108.296,3225
722,5ll6_h_Fe_55214_OK,9.64423,1508
723,1rcw_C_Fe_5194_OK,128.048,7458
724,5iqu_A_Fe_2118_OK,128.001,17746
725,1m34_J_Fe_48751_OK,72.384,3206
726,1y5i_B_Fe_15753_OK,13.4524,484
727,1xcp_D_Fe_8777_OK,128.028,52982
728,3b53_X_Fe_4751_OK,18.2145,876
729,1hlq_A_Fe_1709_OK,56.3089,780
730,1po3_A_Fe_9998_OK,128.03,54446
731,6bbl_C_Fe_31704_OK,80.4877,2990
732,2goy_F_Fe_14510_OK,128.035,33782
733,3git_B_Fe_19792_OK,9.4555,301
734,5n6y_A_Fe_16822_OK,88.252,3178
735,1mjg_M_Fe_43402_OK,4.48826,242
736,3exy_A_Fe_639_OK,128.014,44866
737,5onm_A_Fe_2131_OK,128.059,50038
738,1b0p_B_Fe_18839_OK,14.1296,769
739,3wr9_B_Fe_6604_OK,34.0164,2694
740,2afh_C_Fe_20424_OK,80.5026,2990
741,6eno_A_Fe_6897_OK,113.793,3119
742,1r27_A_Fe_26749_OK,15.4202,3849
743,6f0k_B_Fe_39966_OK,27.1887,9016
744,6fos_C_Fe_25260_OK,128.004,65227
745,1bc6_A_Fe_1179_OK,128.013,53758
746,2ckf_C_Fe_14738_OK,86.849,2967
747,1ykk_F_Fe_20715_OK,83.9226,4213
748,4ras_A_Fe_15832_OK,4.65256,231
749,4nre_A_Fe_10711_OK,24.7386,1513
750,3cf4_A_Fe_7178_OK,9.36486,678
751,2fdn_A_Fe_738_OK,128.078,13527
752,4s3a_A_Fe_3135_OK,58.9866,2612
753,1kek_A_Fe_18787_OK,14.1296,769
754,4r34_B_Fe_6225_OK,128.025,16266
755,3mfl_O_Fe_10714_OK,89.7877,4453
756,4wzb_G_Fe_24154_OK,128.038,54976
757,1uwv_A_Fe_3243_OK,128.018,6279
758,1gt8_C_Fe_31251_OK,4.48843,210
759,4nd8_B_Fe_15985_OK,72.384,3206
760,1y4z_B_Fe_15777_OK,13.4524,484
761,1m34_C_Fe_48558_OK,80.489,2990
762,3cf4_A_Fe_7190_OK,9.36486,677
763,5t5i_F_Fe_28064_OK,4.26327,921
764,1rw4_A_Fe_2053_OK,128.042,49402
765,4uob_A_Fe_3934_OK,128.042,21086
766,3s9n_D_Fe_16304_OK,18.9153,1159
767,1bc6_A_Fe_1178_OK,128.013,53750
768,4aiq_A_Fe_5170_OK,128.025,34078
769,6bbl_C_Fe_31706_OK,80.4877,2990
770,1dt0_A_Fe_4652_OK,128.058,5270
771,4s3a_A_Fe_3134_OK,58.9866,2612
772,5n6y_B_Fe_16844_OK,95.4619,3177
773,3wae_B_Fe_4833_OK,128.053,60036
774,4erg_B_Fe_5198_OK,128.027,27250
775,1jnr_D_Fe_12916_OK,32.4975,1937
776,5la3_A_Fe_8963_OK,46.8678,2702
777,1w9m_A_Fe_4275_OK,36.0014,1324
778,4wes_B_Fe_15498_OK,95.0972,3226
779,6eno_A_Fe_6895_OK,113.793,3119
780,1b0p_A_Fe_18771_OK,14.1296,769
781,1mio_D_Fe_15268_OK,95.2012,3226
782,4dhv_A_Fe_1072_OK,128.035,26625
783,4j5i_F_Fe_15819_OK,128.031,11703
784,5odc_G_Fe_31330_OK,0.039133,1
785,4wes_A_Fe_15488_OK,41.5863,2479
786,3bxd_A_Fe_4086_OK,22.1635,617
787,1oao_D_Fe_22041_OK,4.48826,242
788,5i0v_B_Fe_2574_OK,35.0496,743
789,6elq_B_Fe_14345_OK,16.4048,967
790,1s9a_B_Fe_4102_OK,76.3945,3387
791,1oa0_A_Fe_8352_OK,33.7246,1332
792,4ras_A_Fe_15835_OK,4.65256,231
793,2hip_A_Fe_1107_OK,45.0806,749
794,4ilv_B_Fe_2400_OK,128.022,5800
795,1sb3_B_Fe_18719_OK,128.013,8019
796,3or2_D_Fe_14604_OK,14.3161,2590
797,3zxs_B_Fe_12122_OK,128.016,6722
798,2ivf_B_Fe_11757_OK,15.0967,1450
799,5odq_A_Fe_31116_OK,0.039163,1
800,1r27_B_Fe_26868_OK,15.0892,560
801,1r27_B_Fe_26873_OK,15.0892,560
802,5odc_G_Fe_31329_OK,0.039133,1
803,4ras_A_Fe_15834_OK,4.65256,231
804,3zwu_B_Fe_8998_OK,52.263,2216
805,3p4q_N_Fe_16796_OK,128.008,8908
806,1e3d_A_Fe_24413_OK,68.5618,2220
807,1tmx_A_Fe_4424_OK,67.6343,2156
808,2ynm_C_Fe_11368_OK,106.707,3251
809,5m0t_B_Fe_4431_OK,128.031,19118
810,1hlq_A_Fe_1707_OK,55.6356,774
811,4xpi_B_Fe_16001_OK,72.8717,3208
812,1b0v_C_Fe_3399_OK,128.021,17984
813,1b0v_B_Fe_3385_OK,128.021,17999
814,2vpw_E_Fe_18798_OK,128.032,13879
815,3b53_X_Fe_4765_OK,18.2145,876
816,3c8f_A_Fe_1930_OK,128.015,27828
817,1j3p_A_Fe_2970_OK,113.769,6701
818,2gmh_A_Fe_9132_OK,46.5563,4644
819,1js2_D_Fe_2669_OK,42.8598,658
820,2pda_B_Fe_18828_OK,14.1296,769
821,1s5l_A_Fe_40030_OK,4.1119,484
822,5odc_H_Fe_31377_OK,128.021,10895
823,1oao_A_Fe_21881_OK,14.4059,799
824,1qh8_B_Fe_15599_OK,76.4086,3168
825,3n5n_Y_Fe_4050_OK,128.005,16157
826,2bs4_E_Fe_18442_OK,128.006,8173
827,1tko_B_Fe_5489_OK,128.036,10352
828,2c6r_A_Fe_1337_OK,128.057,7212
829,3nnf_A_Fe_2616_OK,128.016,17876
830,2ivf_A_Fe_11620_OK,128.018,10833
831,6onc_D_Fe_19058_OK,15.4502,562
832,3szo_B_Fe_4800_OK,128.025,3021
833,1m34_K_Fe_48801_OK,80.489,2990
834,5l8r_A_Fe_31971_OK,3.05784,274
835,5ean_A_Fe_8614_OK,19.6956,1370
836,1ui0_A_Fe_1522_OK,128.036,12044
837,2hvb_D_Fe_3762_OK,97.0302,1478
838,2d3y_A_Fe_1725_OK,128.027,11854
839,5uy4_A_Fe_2135_OK,128.001,8349
840,5odr_G_Fe_31347_OK,0.039163,1
841,1hlq_B_Fe_1728_OK,55.1138,766
842,4hea_D_Fe_73988_OK,128.014,10460
843,3myr_E_Fe_25738_OK,65.4616,2242
844,4wn9_C_Fe_15233_OK,41.1499,2468
845,4r34_B_Fe_6223_OK,128.025,16307
846,1hfe_L_Fe_7805_OK,108.296,3225
847,1gup_C_Fe_11202_OK,99.2196,2408
848,3bk7_A_Fe_4743_OK,8.06742,364
849,4toc_X_Fe_31043_OK,128.043,18278
850,2z8q_B_Fe_1075_OK,128.035,26624
851,2a5h_B_Fe_13286_OK,101.928,8094
852,5n6y_E_Fe_16830_OK,95.4619,3177
853,3gcf_M_Fe_44336_OK,111.435,3670
854,2afi_A_Fe_48099_OK,80.7332,3012
855,3ze9_A_Fe_12120_OK,62.4071,1961
856,2fl0_A_Fe_10107_OK,128.062,18204
857,1q16_B_Fe_15866_OK,13.4524,484
858,5med_A_Fe_9142_OK,36.6568,1639
859,6cin_A_Fe_53105_OK,15.2868,839
860,3myr_E_Fe_25740_OK,65.4616,2242
861,1l5h_A_Fe_7394_OK,97.5964,3205
862,4k36_A_Fe_6115_OK,128.006,32027
863,1mio_D_Fe_15269_OK,95.2012,3226
864,2gmh_B_Fe_9285_OK,47.9543,4884
865,2xz1_B_Fe_6936_OK,21.707,783
866,1qh8_A_Fe_15592_OK,81.9566,2954
867,1dax_A_Fe_951_OK,128.057,49306
868,1b0v_B_Fe_3386_OK,128.021,17983
869,3sdp_B_Fe_2912_OK,128.028,5300
870,2bs4_E_Fe_18443_OK,128.006,8173
871,2vsf_A_Fe_4753_OK,128.027,5918
872,4crm_P_Fe_7051_OK,4.47428,260
873,6elq_X_Fe_14305_OK,16.4048,967
874,2ynm_B_Fe_11302_OK,128.021,56692
875,4wn9_D_Fe_15242_OK,94.9739,3226
876,1m1n_H_Fe_32367_OK,72.384,3206
877,3zea_A_Fe_11798_OK,60.7132,1870
878,4c1n_A_Fe_38574_OK,11.376,983
879,3or2_D_Fe_14597_OK,14.3641,2590
880,4mdz_B_Fe_5975_OK,128.041,16802
881,3zgl_B_Fe_4876_OK,128.003,3021
882,6elq_A_Fe_14318_OK,16.4048,967
883,1e08_A_Fe_4995_OK,119.356,3549
884,1k6w_A_Fe_3327_OK,128.028,51867
885,1oa1_A_Fe_4284_OK,36.1306,1297
886,3e6s_E_Fe_7720_OK,128.016,10363
887,1fp4_C_Fe_15852_OK,84.5732,3028
888,2jd7_I_Fe_49966_OK,128.02,14728
889,2pda_B_Fe_18838_OK,14.1296,769
890,3tjt_A_Fe_1671_OK,128.065,5281
891,4tkv_C_Fe_16561_OK,79.7267,2990
892,4ci0_B_Fe_6882_OK,66.7838,2885
893,3k1a_D_Fe_15873_OK,72.384,3206
894,6btm_B_Fe_18800_OK,24.6067,9497
895,4rb4_K_Fe_37120_OK,128.014,10163
896,6o7s_A_Fe_31049_OK,80.7332,3012
897,1e08_A_Fe_4987_OK,119.356,3549
898,3exy_A_Fe_630_OK,128.014,44859
899,1u8v_B_Fe_15311_OK,128.022,17089
900,3git_C_Fe_19828_OK,9.4555,301
901,2fug_F_Fe_73667_OK,116.923,7079
902,1b0p_B_Fe_18840_OK,14.1296,769
903,2min_C_Fe_15838_OK,84.5649,3041
904,3e6s_A_Fe_7697_OK,128.056,10357
905,1gt8_D_Fe_31433_OK,4.44924,210
906,6o7l_C_Fe_30929_OK,82.1847,3043
907,1r27_C_Fe_26884_OK,15.4202,3849
908,1ltv_A_Fe_2205_OK,47.4494,1411
909,3b53_X_Fe_4767_OK,18.2145,876
910,1m34_J_Fe_48760_OK,72.384,3206
911,1h1l_D_Fe_15488_OK,76.4086,3168
912,2jh3_B_Fe_13995_OK,1.99305,2925
913,6g94_Q_Fe_29640_OK,61.3029,1955
914,1b0y_A_Fe_628_OK,50.261,771
915,4xk8_a_Fe_63526_OK,3.02734,286
916,1gt8_D_Fe_31435_OK,4.44924,210
917,4nd8_B_Fe_15990_OK,72.384,3206
918,2wpn_A_Fe_5850_OK,60.9907,1885
919,1gnt_A_Fe_4269_OK,36.1306,1297
920,2vpw_B_Fe_18764_OK,128.027,11772
921,5xvd_T_Fe_12944_OK,66.3552,2228
922,2wpn_A_Fe_5842_OK,60.9907,1885
923,4nd8_B_Fe_15991_OK,72.384,3206
924,3ze9_A_Fe_12121_OK,62.4071,1961
925,4xpi_C_Fe_16127_OK,80.3791,2990
926,1clf_A_Fe_381_OK,128.027,14594
927,1jnr_D_Fe_12917_OK,32.4975,1937
928,5v8s_A_Fe_6483_OK,61.1021,1735
929,5ll6_h_Fe_55213_OK,10.5601,1521
930,2afh_C_Fe_20433_OK,80.5026,2990
931,2afi_A_Fe_48104_OK,80.7332,3012
932,2ivf_A_Fe_11622_OK,128.018,10837
933,1y0z_A_Fe_5157_OK,128.045,9408
934,5cxm_D_Fe_2869_OK,128.094,30041
935,1mjg_M_Fe_43404_OK,4.48826,242
936,6bbl_D_Fe_31708_OK,72.384,3206
937,3ayz_D_Fe_13879_OK,66.8295,2209
938,2qed_A_Fe_2171_OK,128.062,23112
939,5odr_E_Fe_31229_OK,50.1678,2033
940,1js2_A_Fe_2647_OK,42.2803,648
941,6elq_B_Fe_14335_OK,16.4048,967
942,1dur_A_Fe_392_OK,128.035,12513
943,5v1s_A_Fe_6678_OK,128.039,11079
944,2a5h_B_Fe_13287_OK,101.928,8094
945,1oao_C_Fe_21974_OK,4.48518,242
946,3zgn_A_Fe_4793_OK,128.003,3021
947,1jqk_E_Fe_26872_OK,16.1859,932
948,5odq_A_Fe_31117_OK,0.039163,1
949,2gpc_B_Fe_3112_OK,128.03,5296
950,1kek_B_Fe_18839_OK,14.1296,769
951,3daf_A_Fe_2625_OK,1.0747,62
952,4iub_S_Fe_6915_OK,62.3217,2315
953,2fug_3_Fe_73595_OK,128.026,10348
954,1e08_A_Fe_4979_OK,119.356,3549
955,4xpi_A_Fe_15996_OK,79.9935,2945
956,4wes_C_Fe_15539_OK,41.1102,2464
957,1fp4_C_Fe_15859_OK,84.5732,3028
958,1m34_A_Fe_48517_OK,80.489,2990
959,4xpi_B_Fe_16002_OK,72.8717,3208
960,6ojt_B_Fe_7646_OK,103.043,3107
961,1m34_I_Fe_48754_OK,80.489,2990
962,5vq4_B_Fe_16013_OK,72.384,3206
963,5a4m_S_Fe_13309_OK,68.8097,2321
964,5odr_E_Fe_31228_OK,50.1678,2033
965,1hfe_M_Fe_7834_OK,108.296,3225
966,1m1n_E_Fe_32312_OK,80.5026,2990
967,1gnt_A_Fe_4279_OK,36.1306,1297
968,1ogy_I_Fe_58598_OK,128.013,12613
969,3cf4_A_Fe_7181_OK,9.36486,678
970,1hpi_A_Fe_552_OK,48.1692,713
971,1clf_A_Fe_379_OK,128.027,14596
972,6bbl_D_Fe_31707_OK,72.384,3206
973,2o01_B_Fe_29574_OK,3.02741,289
974,1fxr_B_Fe_1019_OK,128.057,49306
975,1kek_B_Fe_18832_OK,14.1296,769
976,1e2u_A_Fe_4237_OK,36.0014,1324
977,1r27_A_Fe_26750_OK,15.4202,3849
978,6f0k_B_Fe_39976_OK,27.1887,9016
979,1a6l_A_Fe_845_OK,128.008,18006
980,1jqk_A_Fe_26797_OK,16.1859,932
981,1c4a_A_Fe_4496_OK,46.9095,2702
982,1ru3_A_Fe_5763_OK,4.41908,242
983,4z3w_F_Fe_26533_OK,128.029,15960
984,4cei_B_Fe_19647_OK,128.001,12546
985,6o7s_A_Fe_31048_OK,80.7332,3012
986,1oao_A_Fe_21879_OK,14.4059,800
987,2jh3_B_Fe_13997_OK,1.99305,2925
988,2d3y_A_Fe_1726_OK,128.027,11854
989,1ui0_A_Fe_1521_OK,128.036,12044
990,1u8v_B_Fe_15310_OK,128.022,17087
991,1su8_A_Fe_4672_OK,18.2145,876
992,5n6y_A_Fe_16799_OK,88.252,3178
993,2wsf_C_Fe_35361_OK,128.026,60228
994,4wwj_A_Fe_4204_OK,128.051,6679
995,3fg1_B_Fe_22258_OK,34.3773,1555
996,1r27_D_Fe_27010_OK,15.0892,560
997,3i01_D_Fe_43622_OK,14.4059,799
998,4zxc_W_Fe_15457_OK,1.55331,51
999,2fct_A_Fe_4838_OK,128.0,17715
1000,3eqe_A_Fe_2383_OK,128.029,34555
1001,1hfe_L_Fe_7804_OK,108.296,3225
1002,3h31_A_Fe_664_OK,53.4991,797
1003,3uqy_S_Fe_13813_OK,68.6598,2311
1004,1rm6_B_Fe_18959_OK,128.013,8019
1005,1bk0_A_Fe_2638_OK,128.0,13819
1006,1b0p_B_Fe_18838_OK,14.1296,769
1007,4e4h_A_Fe_14843_OK,28.6214,1415
1008,6htk_B_Fe_6118_OK,128.023,17142
1009,1m2d_B_Fe_1582_OK,128.003,14174
1010,1l5h_A_Fe_7387_OK,97.5964,3205
1011,1isu_B_Fe_889_OK,69.4168,796
1012,1gn9_B_Fe_8202_OK,33.7289,1332
1013,1tv7_B_Fe_5312_OK,128.02,44707
1014,1dlm_A_Fe_4817_OK,54.9839,1752
1015,2o01_B_Fe_29575_OK,3.02741,289
1016,1fer_A_Fe_865_OK,128.087,19636
1017,3k1a_C_Fe_15867_OK,84.3728,3049
1018,1clf_A_Fe_382_OK,128.027,14592
1019,1r27_B_Fe_26865_OK,15.0892,560
1020,3aeu_A_Fe_12726_OK,105.746,3242
1021,1bou_D_Fe_6690_OK,128.001,6732
1022,3git_C_Fe_19829_OK,9.4555,301
1023,6a4z_A_Fe_2003_OK,128.011,17609
1024,1kek_B_Fe_18847_OK,14.1296,769
1025,4zkh_B_Fe_10308_OK,128.054,10143
1026,1fp6_B_Fe_8695_OK,128.029,53172
1027,1xvx_A_Fe_2386_OK,128.052,53785
1028,4dvh_A_Fe_3230_OK,128.001,5264
1029,1hip_A_Fe_620_OK,50.7515,773
1030,2e7z_A_Fe_7643_OK,128.007,13624
1031,2fug_J_Fe_73812_OK,128.031,6525
1032,1c96_A_Fe_5828_OK,94.2379,6144
1033,5l8r_B_Fe_31973_OK,3.03568,290
1034,5lg8_A_Fe_1450_OK,128.008,8122
1035,4uob_A_Fe_3933_OK,128.042,21090
1036,2afh_C_Fe_20438_OK,80.5026,2990
1037,4xdc_B_Fe_18059_OK,45.8999,2680
1038,3i01_D_Fe_43621_OK,14.4059,799
1039,1m1n_F_Fe_32309_OK,72.384,3206
1040,5b4e_A_Fe_2434_OK,128.05,29222
1041,4crm_P_Fe_7050_OK,4.47428,260
1042,1kek_A_Fe_18780_OK,14.1296,769
1043,5lg8_A_Fe_1447_OK,128.008,8122
1044,1h2k_A_Fe_2878_OK,128.012,5812
1045,1fer_A_Fe_864_OK,128.087,19651
1046,2ohj_B_Fe_12654_OK,63.0649,2020
1047,1oao_A_Fe_21809_OK,14.4059,799
1048,1gnl_A_Fe_8298_OK,33.7098,1332
1049,1fp4_D_Fe_15851_OK,72.384,3206
1050,6fxr_A_Fe_5804_OK,7.23298,277
1051,5cu1_A_Fe_1529_OK,122.218,6219
1052,3o3m_C_Fe_24923_OK,103.594,2718
1053,2goy_H_Fe_14550_OK,128.035,33782
1054,2ohj_A_Fe_12654_OK,63.0649,2020
1055,4mn9_A_Fe_1527_OK,128.032,7928
1056,5odc_G_Fe_31323_OK,0.039133,1
1057,5cxm_C_Fe_2863_OK,128.094,30048
1058,3r60_A_Fe_2265_OK,128.051,32033
1059,3rgw_S_Fe_6927_OK,62.0263,2122
1060,1r9y_A_Fe_3324_OK,128.029,51695
1061,1eg9_A_Fe_5096_OK,51.7794,2175
1062,1gqw_B_Fe_4369_OK,128.058,11736
1063,1m34_C_Fe_48559_OK,80.489,2990
1064,5ag1_B_Fe_6876_OK,48.8335,1984
1065,3hip_B_Fe_1795_OK,53.3937,774
1066,1hfe_M_Fe_7833_OK,108.296,3225
1067,1b0p_A_Fe_18780_OK,14.1296,769
1068,2zyl_A_Fe_2922_OK,128.005,4777
1069,3or2_D_Fe_14598_OK,14.3641,2591
1070,3ld8_A_Fe_6189_OK,128.025,8125
1071,1kek_B_Fe_18848_OK,14.1296,769
1072,1q16_B_Fe_15871_OK,13.4524,484
1073,1jnr_D_Fe_12915_OK,32.4975,1937
1074,1sb3_B_Fe_18720_OK,128.013,8019
1075,3hf1_B_Fe_4669_OK,103.379,4472
1076,3or1_A_Fe_14501_OK,14.3641,2590
1077,1b0p_B_Fe_18837_OK,14.1296,769
